"Subject","Start Date","Start Time","End Date","End Time","Description"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №8","04/12/2025","04:40 PM","04/12/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №9","04/15/2025","11:15 AM","04/15/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №9","04/15/2025","01:10 PM","04/15/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №4","04/15/2025","02:55 PM","04/15/2025","04:30 PM","ОС Пз DL ПЗПІ-23-5"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №2","04/16/2025","07:45 AM","04/16/2025","09:20 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №2","04/16/2025","09:30 AM","04/16/2025","11:05 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"ПрПА Лб DL ПЗПІ-23-5; №1","04/16/2025","11:15 AM","04/16/2025","12:50 PM","ПрПА Лб DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №1","04/16/2025","01:10 PM","04/16/2025","02:45 PM","ПрПА Лб DL ПЗПІ-23-5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №9","04/17/2025","11:15 AM","04/17/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №9","04/17/2025","01:10 PM","04/17/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №11","04/17/2025","02:55 PM","04/17/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №11","04/17/2025","04:40 PM","04/17/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №9","04/18/2025","07:45 AM","04/18/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №9","04/18/2025","09:30 AM","04/18/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; №1","04/18/2025","11:15 AM","04/18/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; №1","04/18/2025","01:10 PM","04/18/2025","02:45 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №9","04/19/2025","02:55 PM","04/19/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №9","04/19/2025","04:40 PM","04/19/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-5; №4","04/22/2025","07:45 AM","04/22/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №4","04/22/2025","09:30 AM","04/22/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №10","04/22/2025","11:15 AM","04/22/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №6","04/22/2025","01:10 PM","04/22/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"ОПJа Пз DL ПЗПІ-23-5; №2","04/23/2025","11:15 AM","04/23/2025","12:50 PM","ОПJа Пз DL ПЗПІ-23-5"
"ОПJа Пз DL ПЗПІ-23-5; №2","04/23/2025","01:10 PM","04/23/2025","02:45 PM","ОПJа Пз DL ПЗПІ-23-5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №10","04/24/2025","11:15 AM","04/24/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
